Date, Close/Last, Volume, Open, High, Low,Symbol
3/16/2020,$63.84 ,14455800,$74.70 ,$76.47 ,$63.59 ,ROKU
3/13/2020,$80.95 ,11943990,$82.71 ,$83.48 ,$74.25 ,ROKU
3/12/2020,$78.81 ,13580470,$80.65 ,$86.64 ,$78.80 ,ROKU
3/11/2020,$90.63 ,8764425,$96.38 ,$97.35 ,$89.15 ,ROKU
3/10/2020,$97.30 ,9694177,$101.06 ,$101.06 ,$92.75 ,ROKU
3/9/2020,$96.26 ,10503220,$91 ,$101.95 ,$90.40 ,ROKU
3/6/2020,$102.02 ,11841520,$104.35 ,$105.30 ,$98.60 ,ROKU
3/5/2020,$106.44 ,8623366,$108.20 ,$110.08 ,$105.66 ,ROKU
3/4/2020,$109.61 ,8881232,$110.01 ,$110.45 ,$105.65 ,ROKU
3/3/2020,$108.62 ,11612320,$113.98 ,$114.75 ,$106.42 ,ROKU
3/2/2020,$114.67 ,9298131,$115.49 ,$116.16 ,$111.33 ,ROKU
2/28/2020,$113.67 ,12392760,$107 ,$114.12 ,$106 ,ROKU
2/27/2020,$110.03 ,15852130,$106.88 ,$115.20 ,$105.57 ,ROKU
2/26/2020,$112.71 ,9769336,$118.29 ,$119.36 ,$112.33 ,ROKU
2/25/2020,$118.67 ,14532960,$119.48 ,$120.49 ,$113.06 ,ROKU
2/24/2020,$116.99 ,16435530,$110.30 ,$118 ,$108.05 ,ROKU
2/21/2020,$119.38 ,12571070,$122.95 ,$123.75 ,$118.24 ,ROKU
2/20/2020,$124.08 ,15397010,$127.25 ,$127.79 ,$121.12 ,ROKU
2/19/2020,$126.56 ,17247330,$129.22 ,$131.60 ,$126.40 ,ROKU
2/18/2020,$127.15 ,19482380,$131.66 ,$133.55 ,$125.24 ,ROKU
2/14/2020,$130.25 ,63567840,$149.19 ,$151.20 ,$127.40 ,ROKU
2/13/2020,$139.05 ,20641430,$139.50 ,$141.71 ,$138.36 ,ROKU
2/12/2020,$138.29 ,12578190,$140.28 ,$141.30 ,$137.03 ,ROKU
2/11/2020,$137 ,19907970,$135.71 ,$142.45 ,$134.10 ,ROKU
2/10/2020,$132.21 ,13483880,$124.99 ,$133.37 ,$124.80 ,ROKU
2/7/2020,$124.25 ,5447809,$126.30 ,$127.60 ,$123.90 ,ROKU
2/6/2020,$126.16 ,6425818,$126.40 ,$129.02 ,$124.23 ,ROKU
2/5/2020,$125.94 ,8797366,$133.46 ,$133.51 ,$125.02 ,ROKU
2/4/2020,$131.03 ,7994370,$129.10 ,$132.79 ,$128.77 ,ROKU
2/3/2020,$127.50 ,10128880,$123.90 ,$129.48 ,$123.20 ,ROKU
1/31/2020,$120.95 ,16948040,$129.10 ,$129.53 ,$120.35 ,ROKU
1/30/2020,$130.64 ,4472493,$127.56 ,$130.88 ,$126.80 ,ROKU
1/29/2020,$128.88 ,5818648,$130.44 ,$131.80 ,$128.62 ,ROKU
1/28/2020,$129.61 ,8173072,$127.30 ,$130.29 ,$125.01 ,ROKU
1/27/2020,$126.21 ,9239393,$127.53 ,$128.52 ,$123.78 ,ROKU
1/24/2020,$130.09 ,8488058,$133.92 ,$135.66 ,$128.79 ,ROKU
1/23/2020,$134.07 ,8818755,$132.18 ,$134.99 ,$129.55 ,ROKU
1/22/2020,$132.43 ,11829950,$137.52 ,$140.50 ,$132.31 ,ROKU
1/21/2020,$136.63 ,12801120,$132.15 ,$137.50 ,$131.23 ,ROKU
1/17/2020,$130.38 ,9173506,$131.25 ,$131.60 ,$128.38 ,ROKU
1/16/2020,$131.07 ,11227330,$132.87 ,$134.27 ,$128.40 ,ROKU
1/15/2020,$132.50 ,7642676,$132.87 ,$136.06 ,$132.13 ,ROKU
1/14/2020,$133.42 ,11165070,$134.04 ,$137.13 ,$131.12 ,ROKU
1/13/2020,$133.93 ,18471280,$130.23 ,$135 ,$126.30 ,ROKU
1/10/2020,$128.40 ,13453460,$132.64 ,$133 ,$128.10 ,ROKU
1/9/2020,$133.79 ,12642460,$135.67 ,$138.77 ,$131.24 ,ROKU
1/8/2020,$134.64 ,11314840,$137.11 ,$137.93 ,$132.85 ,ROKU
1/7/2020,$138.19 ,11779530,$144.01 ,$144.23 ,$137.91 ,ROKU
1/6/2020,$143.37 ,14432740,$136.26 ,$144.55 ,$135.75 ,ROKU
1/3/2020,$137.51 ,8645170,$134.51 ,$138.89 ,$134 ,ROKU
1/2/2020,$137.10 ,9941860,$135.99 ,$137.33 ,$133.58 ,ROKU
12/31/2019,$133.90 ,13780360,$128.75 ,$134.85 ,$127.22 ,ROKU
12/30/2019,$131.60 ,14494280,$137.50 ,$138.75 ,$130.60 ,ROKU
12/27/2019,$139.52 ,13326950,$144.94 ,$145.10 ,$139 ,ROKU
12/26/2019,$144.60 ,14677300,$146.69 ,$149.49 ,$143.82 ,ROKU
12/24/2019,$145.57 ,11084700,$141.30 ,$146.72 ,$140.50 ,ROKU
12/23/2019,$140.14 ,10815810,$137.01 ,$141.25 ,$136.08 ,ROKU
12/20/2019,$136.89 ,12726700,$140.14 ,$141.87 ,$136.35 ,ROKU
12/19/2019,$137.73 ,13771990,$134.39 ,$141 ,$133.80 ,ROKU
12/18/2019,$134.44 ,9450115,$136.03 ,$137.59 ,$133.93 ,ROKU
12/17/2019,$135.28 ,16017920,$136.49 ,$137.74 ,$132.80 ,ROKU
12/16/2019,$138.35 ,19700730,$134 ,$138.51 ,$127.53 ,ROKU
12/13/2019,$132.49 ,17473030,$138.30 ,$142.84 ,$132.16 ,ROKU
12/12/2019,$139.57 ,16739130,$144.73 ,$144.88 ,$136.81 ,ROKU
12/11/2019,$145.70 ,9539369,$147.98 ,$148.72 ,$144.67 ,ROKU
12/10/2019,$147.09 ,11143150,$146.40 ,$149.27 ,$145.30 ,ROKU
12/9/2019,$145.54 ,12591960,$143.95 ,$148.03 ,$143.61 ,ROKU
12/6/2019,$144.26 ,15788460,$148.60 ,$149.79 ,$143.13 ,ROKU
12/5/2019,$148.34 ,15842540,$152.47 ,$153.35 ,$147.55 ,ROKU
12/4/2019,$150.58 ,26260110,$149 ,$151.97 ,$144.05 ,ROKU
12/3/2019,$144.63 ,27532310,$138.06 ,$145.89 ,$136.52 ,ROKU
12/2/2019,$136.07 ,48174440,$145.85 ,$146.68 ,$132.40 ,ROKU
11/29/2019,$160.37 ,7526777,$160.88 ,$163.44 ,$159.30 ,ROKU
11/27/2019,$161.64 ,19115500,$167.05 ,$168.85 ,$159.61 ,ROKU
11/26/2019,$164.28 ,16055740,$158.95 ,$164.42 ,$157.60 ,ROKU
11/25/2019,$158.08 ,14386880,$160.76 ,$162.47 ,$157.51 ,ROKU
